We get to the point with an error
BCEZYFDaHIJKM	B	 M	true	 Min:12
BCEZYFDaHIJKMLNbOQRPQ	"	 Q	true	 Min:19
BCEZYFDaHIJKMLNbOQRPQ	!	 Q	true	 Min:20
BCEZYFDaHIJKMLNbOQRPQ	Y	 Q	true	 Min:21
BCEZYFDaHIJKMLNbOQRPQ	F	 Q	true	 Min:20
BCEZYFDaHIJKMLNbOQRPQ	a	 Q	true	 Min:19
BCEZYFDaHIJKMLNbOQRPQ	H	 Q	true	 Min:18
BCEZYFDaHIJKMLNbOQRPQ	G	 Q	true	 Min:19
BCEZYFDaHIJKMLNbOQRPQ	I	 Q	true	 Min:18
BCEZYFDaHIJKMLNbOQRPQ	J	 Q	true	 Min:17
BCEZYFDaHIJKMLNbOQRPQ	K	 Q	true	 Min:16
BCEZYFDaHIJKMLNbOQRPQ	Ã	 Q	true	 Min:17
BCEZYFDaHIJKMLNbOQRPQ	§	 Q	true	 Min:18
BCEZYFDaHIJKMLNbOQRPQ	M	 Q	true	 Min:17
BCEZYFDaHIJKMLNbOQRPQ	L	 Q	true	 Min:16
BCEZYFDaHIJKMLNbOQRPQ	Â	 Q	true	 Min:17
BCEZYFDaHIJKMLNbOQRPQ	¸	 Q	true	 Min:18
BCEZYFDaHIJKMLNbOQRPQ	.	 Q	true	 Min:19
BCEZYFDaHIJKMLNbOQRPQ	/	 Q	true	 Min:20
BCEZYFDaHIJKMLNbOQRPQ	N	 Q	true	 Min:19
BCEZYFDaHIJKMLNbOQRPQ	b	 Q	true	 Min:18
BCEZYFDaHIJKMLNbOQRPQ	O	 Q	true	 Min:17
BCEZYFDaHIJKMLNbOQRPQ	P	 Q	true	 Min:16
BCEZYFDaHIJKMLNbOQRPQ	Q	 Q	false	 Min:15
BCEZYFDaHIJKMLNbOQRPQ	R	 Q	true	 Min:16
BCEZYFDaHIJKMLNbOQRPQ	c	 Q	true	 Min:17
BCEZYFDaHIJKMLNbOQRPQ	S	 Q	true	 Min:18
BCEZYFDaHIJKMLNbOQRPQ	T	 Q	true	 Min:19
BCEZYFDaHIJKMLNbOQRPQ	U	 Q	true	 Min:20
BCEZYFDaHIJKMLNbOQRPQ	V	 Q	true	 Min:21
BCEZYFDaHIJKMLNbOQRPQ	Â	 Q	true	 Min:22
BCEZYFDaHIJKMLNbOQRPQ	ª	 Q	true	 Min:23
BCEZYFDaHIJKMLNbOQRPQ	W	 Q	true	 Min:24
BCEZYFDaHIJKMLNbOQRPQ	X	 Q	true	 Min:25
BCEZYFDaHIJKMLNbOQRPQR	B	 R	true	 Min:21
BCEZYFDaHIJKMLNbOQRPQR	C	 R	true	 Min:20
BCEZYFDaHIJKMLNbOQRPQR	Z	 R	true	 Min:19
BCEZYFDaHIJKMLNbOQRPQR	D	 R	true	 Min:18
BCEZYFDaHIJKMLNbOQRPQR	E	 R	true	 Min:19
BCEZYFDaHIJKMLNbOQRPQR	"	 R	true	 Min:20
BCEZYFDaHIJKMLNbOQRPQR	!	 R	true	 Min:21
BCEZYFDaHIJKMLNbOQRPQR	Y	 R	true	 Min:22
BCEZYFDaHIJKMLNbOQRPQR	F	 R	true	 Min:21
BCEZYFDaHIJKMLNbOQRPQR	a	 R	true	 Min:20
BCEZYFDaHIJKMLNbOQRPQR	H	 R	true	 Min:19
BCEZYFDaHIJKMLNbOQRPQR	G	 R	true	 Min:20
BCEZYFDaHIJKMLNbOQRPQR	I	 R	true	 Min:19
BCEZYFDaHIJKMLNbOQRPQR	J	 R	true	 Min:18
BCEZYFDaHIJKMLNbOQRPQR	K	 R	true	 Min:17
BCEZYFDaHIJKMLNbOQRPQR	Ã	 R	true	 Min:18
BCEZYFDaHIJKMLNbOQRPQR	§	 R	true	 Min:19
BCEZYFDaHIJKMLNbOQRPQR	M	 R	true	 Min:18
BCEZYFDaHIJKMLNbOQRPQR	L	 R	true	 Min:17
BCEZYFDaHIJKMLNbOQRPQR	Â	 R	true	 Min:18
BCEZYFDaHIJKMLNbOQRPQR	¸	 R	true	 Min:19
BCEZYFDaHIJKMLNbOQRPQR	.	 R	true	 Min:20
BCEZYFDaHIJKMLNbOQRPQR	/	 R	true	 Min:21
BCEZYFDaHIJKMLNbOQRPQR	N	 R	true	 Min:20
BCEZYFDaHIJKMLNbOQRPQR	b	 R	true	 Min:19
BCEZYFDaHIJKMLNbOQRPQR	O	 R	true	 Min:18
BCEZYFDaHIJKMLNbOQRPQR	P	 R	true	 Min:17
BCEZYFDaHIJKMLNbOQRPQR	Q	 R	true	 Min:16
BCEZYFDaHIJKMLNbOQRPQR	R	 R	false	 Min:15
BCEZYFDaHIJKMLNbOQRPQR	c	 R	true	 Min:16
BCEZYFDaHIJKMLNbOQRPQR	S	 R	true	 Min:17
BCEZYFDaHIJKMLNbOQRPQR	T	 R	true	 Min:18
BCEZYFDaHIJKMLNbOQRPQR	U	 R	true	 Min:19
BCEZYFDaHIJKMLNbOQRPQR	V	 R	true	 Min:20
BCEZYFDaHIJKMLNbOQRPQR	Â	 R	true	 Min:21
BCEZYFDaHIJKMLNbOQRPQR	ª	 R	true	 Min:22
BCEZYFDaHIJKMLNbOQRPQR	W	 R	true	 Min:23
BCEZYFDaHIJKMLNbOQRPQR	X	 R	true	 Min:24
BCEZYFDaHIJKMLNbOQRPQRS	B	 S	true	 Min:22
BCEZYFDaHIJKMLNbOQRPQRS	C	 S	true	 Min:21
BCEZYFDaHIJKMLNbOQRPQRS	Z	 S	true	 Min:20
BCEZYFDaHIJKMLNbOQRPQRS	D	 S	true	 Min:19
BCEZYFDaHIJKMLNbOQRPQRS	E	 S	true	 Min:20
BCEZYFDaHIJKMLNbOQRPQRS	"	 S	true	 Min:21
BCEZYFDaHIJKMLNbOQRPQRS	!	 S	true	 Min:22
BCEZYFDaHIJKMLNbOQRPQRS	Y	 S	true	 Min:23
BCEZYFDaHIJKMLNbOQRPQRS	F	 S	true	 Min:22
BCEZYFDaHIJKMLNbOQRPQRS	a	 S	true	 Min:21
BCEZYFDaHIJKMLNbOQRPQRS	H	 S	true	 Min:20
BCEZYFDaHIJKMLNbOQRPQRS	G	 S	true	 Min:21
BCEZYFDaHIJKMLNbOQRPQRS	I	 S	true	 Min:20
BCEZYFDaHIJKMLNbOQRPQRS	J	 S	true	 Min:19
BCEZYFDaHIJKMLNbOQRPQRS	K	 S	true	 Min:18
BCEZYFDaHIJKMLNbOQRPQRS	Ã	 S	true	 Min:19
BCEZYFDaHIJKMLNbOQRPQRS	§	 S	true	 Min:20
BCEZYFDaHIJKMLNbOQRPQRS	M	 S	true	 Min:19
BCEZYFDaHIJKMLNbOQRPQRS	L	 S	true	 Min:18
BCEZYFDaHIJKMLNbOQRPQRS	Â	 S	true	 Min:19
BCEZYFDaHIJKMLNbOQRPQRS	¸	 S	true	 Min:20
BCEZYFDaHIJKMLNbOQRPQRS	.	 S	true	 Min:21
BCEZYFDaHIJKMLNbOQRPQRS	/	 S	true	 Min:22
BCEZYFDaHIJKMLNbOQRPQRS	N	 S	true	 Min:21
BCEZYFDaHIJKMLNbOQRPQRS	b	 S	true	 Min:20
BCEZYFDaHIJKMLNbOQRPQRS	O	 S	true	 Min:19
BCEZYFDaHIJKMLNbOQRPQRS	P	 S	true	 Min:18
BCEZYFDaHIJKMLNbOQRPQRS	Q	 S	true	 Min:17
BCEZYFDaHIJKMLNbOQRPQRS	R	 S	true	 Min:16
BCEZYFDaHIJKMLNbOQRPQRS	c	 S	true	 Min:17
BCEZYFDaHIJKMLNbOQRPQRS	S	 S	false	 Min:16
BCEZYFDaHIJKMLNbOQRPQRS	T	 S	true	 Min:17
BCEZYFDaHIJKMLNbOQRPQRS	U	 S	true	 Min:18
BCEZYFDaHIJKMLNbOQRPQRS	V	 S	true	 Min:19
BCEZYFDaHIJKMLNbOQRPQRS	Â	 S	true	 Min:20
BCEZYFDaHIJKMLNbOQRPQRS	ª	 S	true	 Min:21
BCEZYFDaHIJKMLNbOQRPQRS	W	 S	true	 Min:22
BCEZYFDaHIJKMLNbOQRPQRS	X	 S	true	 Min:23
BCEZYFDaHIJKMLNbOQRPQRST	B	 T	true	 Min:23
BCEZYFDaHIJKMLNbOQRPQRST	C	 T	true	 Min:22
BCEZYFDaHIJKMLNbOQRPQRST	Z	 T	true	 Min:21
BCEZYFDaHIJKMLNbOQRPQRST	D	 T	true	 Min:20
BCEZYFDaHIJKMLNbOQRPQRST	E	 T	true	 Min:21
BCEZYFDaHIJKMLNbOQRPQRST	"	 T	true	 Min:22
BCEZYFDaHIJKMLNbOQRPQRST	!	 T	true	 Min:23
BCEZYFDaHIJKMLNbOQRPQRST	Y	 T	true	 Min:24
BCEZYFDaHIJKMLNbOQRPQRST	F	 T	true	 Min:23
